Symbol,Open,High,Low,Close,LTP,Prev_Close,Diff,Diff_Percent,Volume,Turnover,Transactions,Fifty_Two_Week_High,Fifty_Two_Week_Low,Confidence
ACLBSL,915.0,915.0,901.2,901.2,901.2,919.0,-1.94,-1.94,1334,1210962.8,34,1157.0,827.9,0.0
ADBL,302.0,302.0,295.5,300.0,300.0,302.2,-0.73,-0.73,45445,13588037.6,213,340.0,285.2,0.0
ADBLB87,1015.0,1015.0,1012.0,1012.0,1012.0,1016.0,-0.39,-0.39,500000,506800000.0,5,1016.0,1000.0,0.0
AHL,415.0,415.0,403.1,408.0,408.0,419.0,-2.63,-2.63,2086,853176.0,37,699.0,403.1,0.0
AHPC,263.6,264.0,260.0,260.0,260.0,263.4,-1.29,-1.29,115810,30244257.2,331,323.3,250.1,0.0
AKJCL,360.0,360.0,349.1,349.1,349.1,355.5,-1.8,-1.8,355959,125671914.4,706,461.4,172.9,0.0
AKPL,251.6,253.0,247.4,249.0,249.0,252.0,-1.19,-1.19,96495,24048709.4,313,317.0,227.5,0.0
ALBSL,1065.0,1126.0,1065.0,1101.9,1101.9,1094.5,0.68,0.68,8104,8851124.6,82,1334.0,930.0,0.0
ALICL,420.0,421.0,414.0,415.0,415.0,421.6,-1.57,-1.57,27054,11300647.0,146,507.0,413.4,0.0
ANLB,5220.0,5319.0,5175.1,5225.0,5225.0,5310.0,-1.6,-1.6,2311,12065976.0,46,7560.0,5175.1,0.0
APHL,775.0,786.9,750.1,750.4,750.4,782.0,-4.04,-4.04,26653,20457400.8,414,1053.4,299.7,0.0
API,333.0,336.9,329.0,330.0,330.0,332.6,-0.78,-0.78,117926,38994402.5,420,370.0,258.8,0.0
AVYAN,1055.0,1083.9,1023.5,1023.5,1023.5,1069.0,-4.26,-4.26,5769,5985285.2,75,1366.0,906.0,0.0
BANDIPUR,700.8,703.9,685.1,686.0,686.0,700.8,-2.11,-2.11,22497,15594527.1,282,1233.0,285.0,0.0
BARUN,320.0,325.6,315.0,317.0,317.0,316.2,0.25,0.25,19590,6214049.7,108,401.5,292.1,0.0
BBC,4128.0,4190.0,4095.0,4108.0,4108.0,4089.0,0.46,0.46,220,909476.0,19,5600.0,3825.0,0.0
BEDC,315.0,316.0,308.0,313.5,313.5,316.9,-1.07,-1.07,24233,7520623.1,149,774.9,303.1,0.0
BFC,479.0,487.9,475.2,485.0,485.0,483.5,0.31,0.31,43951,21194393.7,141,562.0,411.5,0.0
BGWT,522.0,533.0,500.0,500.0,500.0,519.0,-3.66,-3.66,3407,1773256.4,61,944.0,500.0,0.0
BHCL,560.0,574.0,552.0,552.0,552.0,554.0,-0.36,-0.36,126207,70874088.0,773,699.0,292.1,0.0
BHDC,424.0,429.9,424.0,424.2,424.2,427.0,-0.66,-0.66,5449,2315559.7,52,616.0,412.0,0.0
BHL,218.0,218.0,206.2,207.6,207.6,208.4,-0.38,-0.38,67315,13949872.1,309,264.4,164.0,0.0
BHPL,510.3,510.3,470.0,479.0,479.0,486.0,-1.44,-1.44,2210,1041480.0,27,820.0,449.0,0.0
BJHL,735.0,746.0,714.0,714.0,714.0,737.0,-3.12,-3.12,19120,14053178.5,221,1305.0,270.1,0.0
BNHC,282.3,283.0,277.0,280.0,280.0,282.3,-0.81,-0.81,23950,6695158.7,120,613.8,261.3,0.0
BNT,11600.0,11600.0,11600.0,11600.0,11600.0,11552.0,0.42,0.42,20,232000.0,1,12760.0,10660.0,0.0
BPCL,644.0,644.0,638.0,638.0,638.0,644.0,-0.93,-0.93,7966,5097998.1,76,874.0,612.0,0.0
BUNGAL,601.0,619.0,590.0,594.9,594.9,606.0,-1.83,-1.83,26037,15647873.2,249,895.0,302.4,0.0
CBBL,939.9,940.0,932.0,936.0,936.0,935.0,0.11,0.11,9843,9231714.5,147,1124.0,882.0,0.0
CCBD88,1190.0,1190.0,1190.0,1190.0,1190.0,1205.0,-1.24,-1.24,25,29750.0,1,1326.0,1126.0,0.0
CFCL,610.0,618.0,589.0,595.0,595.0,610.0,-2.46,-2.46,158580,94915457.2,516,699.0,445.1,0.0
CGH,775.0,779.0,771.0,773.0,773.0,779.1,-0.78,-0.78,5743,4433434.4,52,1104.0,748.0,0.0
CHCL,485.0,486.0,477.0,480.0,480.0,480.0,0.0,0.0,10977,5265745.4,143,526.9,450.3,0.0
CHDC,2192.0,2218.0,2191.2,2196.0,2196.0,2213.0,-0.77,-0.77,10840,23888172.9,99,2717.0,1967.0,0.0
CHL,279.8,279.8,261.0,262.9,262.9,266.5,-1.35,-1.35,13073,3427626.4,55,332.5,223.4,0.0
CIT,1700.0,1713.0,1699.0,1703.0,1703.0,1701.0,0.12,0.12,4049,6885791.5,97,1973.0,1630.3,0.0
CITY,365.0,365.0,358.1,358.2,358.2,363.0,-1.32,-1.32,70642,25470231.9,324,649.0,327.8,0.0
CIZBD86,1214.9,1214.9,1214.9,1214.9,1214.9,1185.0,2.52,2.52,10,12149.0,1,1320.9,1112.3,0.0
CKHL,595.0,599.0,580.0,599.0,599.0,596.6,0.4,0.4,1547,919847.0,32,804.0,525.0,0.0
CLI,435.0,439.0,435.0,438.8,438.8,439.4,-0.14,-0.14,6645,2901845.8,171,526.0,411.0,0.0
CORBL,1030.0,1045.0,1014.0,1019.6,1019.6,1040.0,-1.96,-1.96,16496,16949387.6,343,3183.0,965.0,0.0
CREST,1160.0,1160.0,1150.0,1159.9,1159.9,1169.7,-0.84,-0.84,4619,5316994.3,94,1588.0,985.2,0.0
CSY,8.85,9.2,8.71,8.75,8.75,8.89,-1.57,-1.57,2080,18703.4,15,10.0,8.2,0.0
CYCL,1387.0,1529.0,1387.0,1490.0,1490.0,1460.0,2.05,2.05,11092,16599443.5,225,1879.0,1216.0,0.0
CZBIL,201.6,201.6,198.1,199.6,199.6,201.6,-0.99,-0.99,18849,3769644.2,126,238.6,183.0,0.0
DDBL,848.0,849.0,840.0,841.0,841.0,848.0,-0.83,-0.83,14141,11946159.1,88,941.0,793.0,0.0
DHEL,620.3,620.3,590.0,595.0,595.0,604.0,-1.49,-1.49,11711,6978684.3,182,918.9,402.2,0.0
