symbol,fullName,sector,ltp,point_change,percentage_change,volume,amount
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,917,-3,-0.33,393,362297.3
ADBL,Agriculture Development Bank,Banking,307.89,-0.91,-0.29,45973,14048884
ADBLD83,10.35% Agricultural Bank Debenture 2083,Bond,1023.6,-0.4,-0.04,0,25590
AHL,Asian Hydropower Limited,HydroPower,414,0.9,0.22,2712,1123234.5
AHPC,Arun Valley Hydropower Development,HydroPower,265.89,-2.11,-0.79,37465,9972580.9
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,HydroPower,362.1,-11.9,-3.18,322090,117990962.2
AKPL,Arun Kabeli Power Ltd.,HydroPower,256.6,-1.4,-0.54,40985,10556150.3
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance,1091,6,0.55,3178,3448719.1
ALICL,Asian Life Insurance,Life Insurance,422,-2.8,-0.66,5448,2295260.7
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,5999,475,8.6,5041,27227028.2
APHL,Appolo Hydropower Limited,HydroPower,828,0,0,10060,8307687.1
API,Api Power,HydroPower,330,-1.9,-0.57,82236,27115455.4
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance,1053,11,1.06,6060,6436329
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels And Tourism,692,-5,-0.72,34855,23910208.7
BARUN,Barun Hydropower,HydroPower,321.2,-1.5,-0.46,16558,5305442.8
BBC,Bishal Bazar,Trading,4289,11,0.26,100,423675
BEDC,Bhugol Energy Development Company Limited,HydroPower,323,1,0.31,14378,4631334.4
BFC,Best Finance,Finance,494,-8,-1.59,30161,14999370.5
BGWT,Bhagawati Hydropower Development Company Limited,HydroPower,556,-1,-0.18,501,275075.3
BHCL,Bikash Hydropower Company Limited,HydroPower,489,-5,-1.01,16680,8178281.7
BHDC,Bindhyabasini Hydropower Development Company Limited,HydroPower,426,-3.5,-0.81,8716,3716621.2
BHL,Balephi Hydropower Limited,HydroPower,208.9,-1.1,-0.52,44962,9394674.9
BHPL,Barahi Hydropower Public Limited,HydroPower,497,-2,-0.4,7298,3533740.7
BJHL,Bhujung Hydropower Limited,HydroPower,694,-10,-1.42,4666,3212152
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,HydroPower,286.2,-4.8,-1.65,28624,8228945.6
BNT,Bottlers Nepal (Terai),Manu.& Pro.,11645,35,0.3,10,116450
BOKD86KA,"BOK Debenture 2086 ""KA""",Bond,1111.09,-34.31,-3,0,55555
BPCL,Butwal Power,HydroPower,650,-3,-0.46,3243,2102030.8
BUNGAL,Bungal Hydro Limited ,HydroPower,584.79,-0.31,-0.05,12856,7515067.7
CBBL,Chhimek Laghubitta Bikas Bank,Microfinance,929,-0.9,-0.1,7453,6907791.4
CBLD88,Civil Bank Debenture 2088,Bond,1230,80,6.96,0,9337832
CFCL,Central Finance,Finance,660,-15,-2.22,45130,29938889.5
CGH,Chandragiri Hills Limited,Hotels And Tourism,785.1,6.8,0.87,60218,47329922.3
CHCL,Chilime Hydropower,HydroPower,486,-6,-1.22,6116,2975507.1
CHDC,CEDB Holdings Limited,Investment,2200,-18,-0.81,7774,17093156.2
CHL,Chhyangdi Hydropower Ltd.,HydroPower,268,-2,-0.74,23013,6108697.9
CIT,Citizen Investment Trust,Investment,1709.9,-0.1,-0.01,5291,9005384.5
CITY,City Hotel Limited,Hotels And Tourism,371,-3,-0.8,100371,37291700.9
CKHL,Chirkhwa Hydropower Limited,HydroPower,584,5.8,1,672,387659.7
CLI,Citizen Life Insurance Company Limited,Life Insurance,443.9,3.8,0.86,18558,8136898.3
CORBL,Corporate Development Bank,Development Bank,1065,40,3.9,28501,29682286.8
CREST,Crest Micro Life Insurance Limited,Life Insurance,1189,-5,-0.42,6706,7882424.9
CSY,Citizens Santulit Yojana,Mutual Fund,8.85,-0.17,-1.88,0,266010.99
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,1280,-10,-0.78,1208,1542565.8
CZBIL,Citizen Bank International,Banking,202,0,0,26917,5437544
CZBILP,Citizen Bank International Promoter,Banking,100,0,0,722042,72204200
DDBL,Deprosc Laghubitta,Microfinance,829,-6,-0.72,3294,2733096.7
DHEL,Daramkhola Hydro Energy Limited,HydroPower,584.9,8.9,1.55,19481,11167965.5
DHPL,Dibyashwori Hydropower Ltd.,HydroPower,290,-3,-1.02,1477,426273
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,1165,-17.09,-1.45,223,247364.5
DOLTI,Dolti Power Company Limited,HydroPower,320,0,0,6821,2177872.4
DORDI,Dordi Khola Jal Bidyut Company Limited,HydroPower,247,-7,-2.76,28902,7239081.5
EBL,Everest Bank,Banking,723,-2,-0.28,23131,16717634.5
EBLD85,10.50% Everest Bank Limited Debenture 2085,Bond,1060,-53.4,-4.8,0,0
ECL,Everest Colour Limited,Manu.& Pro.,1665,53,3.29,31215,51621623.5
EDBL,Excel Development Bank,Development Bank,584,-3.9,-0.66,1460,846220
EHPL,Eastern Hydropower Limited,HydroPower,344,0,0,5513,1881032.1
ENL,Emerging Nepal Limited,Investment,799.9,8.9,1.13,160,127007
FMDBL,First Micro Finance Development Bank,Microfinance,781,23,3.03,49122,38235892.6
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microfinance,930,2.9,0.31,3506,3254846
GBBL,Garima Bikas Bank,Development Bank,419,-2,-0.48,23774,9971506.6
GBIME,Global Ime Bank,Banking,251,-1.3,-0.52,157185,39470984
GBIMESY2,Global IME Sammunat Yojana -2 ,Mutual Fund,9.11,-0.08,-0.87,0,72841
GBLBS,Grameen Bikas Laghubitta,Microfinance,738,1,0.14,1327,973686.7
GCIL,Ghorahi Cement Industry Limited,Manu.& Pro.,345,-5,-1.43,13380,4640093.9
GFCL,Goodwill Finance,Finance,605,2,0.33,5011,3023600
GHL,Ghalemdi Hydro Limited,HydroPower,228,-0.5,-0.22,48820,11167293
GIBF1,Global IME Balanced Fund-1,Mutual Fund,10.75,-0.23,-2.09,0,22545
GILB,Global IME Laghubitta Bittiya Sanstha ,Microfinance,1070,-20,-1.83,498,533668.4
GLBSL,Gurans Laghubitta Bittiya Sanstha ,Microfinance,1795.9,-5.1,-0.28,279,461978
GLH,GreenLife Hydropower Limited,HydroPower,256.89,-0.5,-0.19,15144,3876759.2
GMFBS,Ganapati Microfinance Bittiya Sanstha ,Microfinance,1154,-29.09,-2.46,1933,2275696.2
GMFIL,Guheshowori Merchant Bank & Finance,Finance,456.3,1,0.22,5395,2469656.3
GMLI,Guardian Micro Life Insurance Limited,Life Insurance,1105,1,0.09,2767,3042106
GRDBL,Green Development Bank Ltd.,Development Bank,1049,1.2,0.11,9453,9883100.6
GSY,Garima Samriddhi Yojana,Mutual Fund,9.52,0.01,0.11,0,547517
GUFL,Gurkhas Finance Ltd.,Finance,569.9,-6,-1.04,10774,6149992.9
GVL,Green Ventures Limited,HydroPower,482,1.8,0.37,6322,3034944.9
H8020,Himalayan 80-20,Mutual Fund,12.2,0,0,0,46781
HATHY,Hathway Investment Nepal Limited,Investment,693,7.1,1.04,4014,2749312.8
HBL,Himalayan Bank,Banking,194.8,-0.1,-0.05,33399,6493555.1
HDHPC,Himal Dolakha Hydropower Company Limited,HydroPower,208,-1.9,-0.91,71273,14889405.5
HDL,Himalayan Distillery,Manu.& Pro.,1167,0,0,12427,14456522.4
HEI,Himalayan Everest Insurance Limited,Non Life Insurance,534,-3,-0.56,2186,1171422
HEIP,Himalayan Everest Insurance Limited Promoter,Non Life Insurance,332,-5.5,-1.63,3160,1067818
HFIN,Hotel Forest Inn Limited,Hotels And Tourism,699,-10,-1.41,21761,15240708
HHL,Himalayan Hydropower Limited,HydroPower,337,0.6,0.18,8753,2938347.6
HIDCL,Hydroelectricity Investment and Development Company,Investment,254,-0.6,-0.24,20564,5211326.4
HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,Investment,187.5,-2.4,-1.26,54196,10179779.7
HIMSTAR,Him Star Urja Company Limited,HydroPower,696,-12,-1.69,4565,3184631.7
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,870,-10,-1.14,217,185359
HLI,Himalayan Life Insurance Limited,Life Insurance,319.7,-0.19,-0.06,14437,4581196.2
HLICF,HLI Large Cap Fund,Mutual Fund,8.94,0.44,5.18,0,25359
HPPL,Himalayan Power Partner Ltd.,HydroPower,380,-8,-2.06,165076,62405055.3
HRL,Himalayan Reinsurance Limited,Others,583,-1,-0.17,32994,19282769.7
HURJA,Himalaya Urja Bikas Company Limited,HydroPower,238,-1.1,-0.46,29557,7041313
ICFC,ICFC Finance,Finance,603,-2,-0.33,7627,4584099.1
ICFCD89,8% ICFC Finance Limited Debenture 2089,Bond,1092,2,0.18,0,241585
IGI,IGI Prudential insurance Limited,Non Life Insurance,430,1,0.23,7761,3328046.3
IHL,Ingwa Hydropower Limited,HydroPower,346,-2,-0.57,4109,1425908.1
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance,876.9,-2.1,-0.24,1049,878924.8
ILI,IME Life Insurance Company Limited,Life Insurance,412.4,1.2,0.29,5178,2122595.1
JBBL,Jyoti Bikas Bank,Development Bank,340,-3,-0.87,31771,10821686.7
